importe_pro_region_mio_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
Mio. CHF,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
EU27,21853.751828,22524.06208,23715.840703000002,23943.588815999999,21582.085863,22662.710610999999,26925.24238,25239.909770999999,24118.150838000001,22501.744791000001,23089.585650000001,24284.157152,25666.109909999999,25595.922771000001,24513.968044000001,28119.947958000001,26459.086507,25413.960776
Asien,6658.75414,7587.8295850000004,8000.6267079999998,8265.9677780000002,8318.9291069999999,9598.521573,10915.740333,9438.5879089999999,8811.9043500000007,10455.51261,12662.671542,10646.227265,11367.445218999999,11267.810076,12923.622416,16906.88294,16619.297102,17010.043831999999
US,3919.0951399999999,2802.8415169999998,2772.59539,3272.0435849999999,1941.2870330000001,1832.5815829999999,2179.5405959999998,2250.1849820000002,2149.0260389999999,4448.6208649999999,3017.4596329999999,3221.226909,3401.6020400000002,4306.823359,4840.4609099999998,6400.1471929999998,7592.5141370000001,5172.2510970000003
Übriges Europa,1271.625806,1358.2894249999999,1458.228818,1429.5148879999999,1378.8357619999999,1413.095716,1560.975911,1450.147504,1462.1790040000001,5484.5996139999997,5239.1992030000001,12294.081344,7096.3092470000001,7287.6464109999997,21705.668476999999,5724.9854020000002,3588.8327760000002,4382.7068639999998
Übriges Amerika,591.07028100000002,1113.983174,1404.1916839999999,629.54475400000001,554.43010000000004,740.60217999999998,526.96209999999996,548.67367200000001,656.85925299999997,649.27350300000001,1389.99848,1423.0121200000001,636.02790800000002,563.17510500000003,1096.0127090000001,3659.7629529999999,2950.3020240000001,2662.9156410000001
Afrika,288.15889800000002,294.36223999999999,328.00464699999998,380.62074799999999,323.49780500000003,355.248265,415.18144000000001,425.82703600000002,405.59056399999997,834.53039899999999,629.61203699999999,608.89612699999998,470.35528799999997,1462.3698400000001,712.85329300000001,1719.312921,1835.371967,1377.0466759999999
Ozeanien,24.641767999999999,31.728877000000001,30.068294000000002,32.769716000000003,19.296576999999999,26.23657,27.118703,24.709697999999999,25.411207000000001,28.867982000000001,93.116825000000006,31.003012999999999,33.577736000000002,293.92183799999998,27.591609999999999,631.08281899999997,1760.0676599999999,2086.3461430000002
Total,34607.097861000002,35713.096898000003,37709.556243999999,37954.050284999998,34118.362246999997,36628.996498,42550.761463000003,39378.040571999998,37629.121254999998,44403.149764000002,46121.643369999998,52508.603929999997,48671.427347999997,50777.669399999999,65820.177458999999,63162.122186000001,60805.472173000002,58105.271029000003
